Visible or Deactivate (Hidden)?,Column1,Level Nothing ,Level 1,Level 1 Name,Level 2,Level 2 Name,Clarifications / Additional notes on coverage,Level 3 Code,Level 3 Name
,3,Education,111,"Education, Level Unspecified",11110,Education policy and administrative management,"Education sector policy, planning and programmes; aid to education ministries, administration and management systems; institution capacity building and advice; school management and governance; curriculum and materials development; unspecified education activities.",0,Unspecified
,4,Education,111,"Education, Level Unspecified",11120,Education facilities and training,"Educational buildings, equipment, materials; subsidiary services to education (boarding facilities, staff housing); language training; colloquia, seminars, lectures, etc.",0,Unspecified
,5,Education,111,"Education, Level Unspecified",11130,Teacher training,Teacher education (where the level of education is unspecified); in-service and pre-service training; materials development.,0,Unspecified
,6,Education,111,"Education, Level Unspecified",11182,Educational research,"Research and studies on education effectiveness, relevance and quality; systematic evaluation and monitoring.",0,Unspecified
,7,Education,112,Education,11220,Primary education,Formal and non-formal primary education for children; all elementary and first cycle systematic instruction; provision of learning materials.,1122001,Girls Education
,8,Education,112,Education,11230,Basic life skills for youth and adults,Formal and non-formal education for basic life skills for young people and adults (adults education); literacy and numeracy training.,0,Unspecified
Hidden,9,Education,112,Education,11231,Basic life skills for youth,Formal and non-formal education for basic life skills for young people.,0,Unspecified
Hidden,10,Education,112,Education,11232,Primary education equivalent for adults,Formal primary education for adults.,0,Unspecified
,11,Education,112,Education,11240,Early childhood education,Formal and non-formal pre-school education.,0,Unspecified
,12,Education,113,Secondary Education,11320,Secondary education,Second cycle systematic instruction at both junior and senior levels.,1132001,Education in Crisis Environments
Hidden,13,Education,113,Secondary Education,11321,Lower secondary education,Second cycle systematic instruction at junior level.,0,Unspecified
Hidden,14,Education,113,Secondary Education,11322,Upper secondary education,Second cycle systematic instruction at senior level.,0,Unspecified
,15,Education,113,Secondary Education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,1133001,"Workforce/skills development, TVET, certificaton, accreditation"
,16,Education,113,Secondary Education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,1133002,Job Creation and Placement
,17,Education,113,Secondary Education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,1133003,Labor Market Information Systems
,18,Education,113,Secondary Education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,1133004,Data Driven Skills Identification
,19,Education,113,Secondary Education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,1133005,Workplace Learning
,20,Education,113,Secondary Education,11330,Vocational training,Elementary vocational training and secondary level technical education; on-the job training; apprenticeships; including informal vocational training.,1133006,Rural Employment and Entrepreneurship
,21,Education,114,Post-Secondary Education,11420,Higher education,"Degree and diploma programmes at universities, colleges and polytechnics; scholarships.",0,Unspecified
,22,Education,114,Post-Secondary Education,11430,Advanced technical and managerial training,Professional-level vocational training programmes and in-service training.,0,Unspecified
,24,Health,121,"Health, General",12110,Health policy and administrative management,"Health sector policy, planning and programmes; aid to health ministries, public health administration; institution capacity building and advice; medical insurance programmes; unspecified health activities.",1211001,Health Systems Strengthening
,25,Health,121,"Health, General",12181,Medical education/training,Medical education and training for tertiary level services.,1218101,One Health
,26,Health,121,"Health, General",12181,Medical education/training,Medical education and training for tertiary level services.,1218102,Health Policy
Hidden,27,Health,121,"Health, General",12182,Medical research,General medical research (excluding basic health research).,0,Unspecified
,28,Health,121,"Health, General",12191,Medical services,"Laboratories, specialised clinics and hospitals (including equipment and supplies); ambulances; dental services; mental health care; medical rehabilitation; control of non-infectious diseases; drug and substance abuse control [excluding narcotics traffic control (16063)].",0,Unspecified
,29,Health,122,Basic Health,12220,Basic health care,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care.",1222001,Maternal and child health
,30,Health,122,Basic Health,12220,Basic health care,"Basic and primary health care programmes; paramedical and nursing care programmes; supply of drugs, medicines and vaccines related to basic health care.",1222002,Women's Health
,31,Health,122,Basic Health,12230,Basic health infrastructure,"District-level hospitals, clinics and dispensaries and related medical equipment; excluding specialised hospitals and clinics (12191).",1223003,Local service delivery
,32,Health,122,Basic Health,12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",1224001,Infants and Young Children
,33,Health,122,Basic Health,12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",1224002,Food Utilization - Scaling Up Nutrition (SUN)
,34,Health,122,Basic Health,12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",1224003,Essential Nutrition Actions (ENA)
,35,Health,122,Basic Health,12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",1224004,Behavior Change Communication (BCC)
,36,Health,122,Basic Health,12240,Basic nutrition,"Direct feeding programmes (maternal feeding, breastfeeding and weaning foods, child feeding, school feeding); determination of micro-nutrient deficiencies; provision of vitamin A, iodine, iron etc.; monitoring of nutritional status; nutrition and food hygiene education; household food security.",1224005,Care Groups
,37,Health,122,Basic Health,12250,Infectious disease control,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc.",1225001,Pandemic Threats
,38,Health,122,Basic Health,12250,Infectious disease control,"Immunisation; prevention and control of infectious and parasite diseases, except malaria (12262), tuberculosis (12263), HIV/AIDS and other STDs (13040). It includes diarrheal diseases, vector-borne diseases (e.g. river blindness and guinea worm), viral diseases, mycosis, helminthiasis, zoonosis, diseases by other bacteria and viruses, pediculosis, etc.",1225002,Epidemiology
,39,Health,122,Basic Health,12261,Health education,"Information, education and training of the population for improving health knowledge and practices; public health and awareness campaigns; promotion of improved personal hygiene practices, including use of sanitation facilities and handwashing with soap.",1226101,Behavior Change/health communications
,40,Health,122,Basic Health,12262,Malaria control,Prevention and control of malaria.,0,Unspecified
,41,Health,122,Basic Health,12263,Tuberculosis control,"Immunisation, prevention and control of tuberculosis.",0,Unspecified
,42,Health,122,Basic Health,12281,Health personnel development,Training of health staff for basic health care services.,0,Unspecified
,44,Health,123,Non-communicable diseases (NCD),12310,"NCDs control, general",Programmes for the prevention and control of NCDs which cannot be broken down into the codes below.,0,Unspecified
